uid,title,year,runtime_mins,ave_rating,num_votes
tt0021413,Spring Is Here,1930.0,69.0,5.5,239.0
tt0021430,Eine Stunde Glück,1931.0,82.0,5.8,10.0
tt0021435,Sunny,1930.0,78.0,5.2,114.0
tt0021436,Sunny Skies,1930.0,75.0,5.6,66.0
tt0021439,Sweet Kitty Bellairs,1930.0,63.0,5.1,115.0
tt0021442,Sweethearts on Parade,1930.0,65.0,7.9,33.0
tt0021445,Swing High,1930.0,95.0,6.4,36.0
tt0021451,Sein Liebeslied,1930.0,102.0,5.8,10.0
tt0021464,They Learned About Women,1930.0,95.0,5.5,213.0
tt0021486,Top Speed,1930.0,80.0,6.1,174.0
tt0021511,The Vagabond King,1930.0,104.0,5.7,119.0
tt0021516,Ver e Amar!,1930.0,78.0,,
tt0021517,Verklungene Träume,1930.0,88.0,6.7,7.0
tt0021522,Viennese Nights,1930.0,92.0,7.1,66.0
tt0021549,Whoopee!,1930.0,93.0,6.3,944.0
tt0021552,How Do I Become Rich and Happy?,1930.0,82.0,,
tt0021561,Women Everywhere,1930.0,82.0,5.3,15.0
tt0021564,The Yellow Mask,1930.0,76.0,,
tt0021568,Young Man of Manhattan,1930.0,79.0,6.1,150.0
tt0021572,Zwei Herzen im Dreiviertel-Takt,1930.0,96.0,6.8,35.0
tt0021573,Zwei Krawatten,1930.0,88.0,6.7,6.0
tt0021619,Poor as a Church Mouse,1931.0,101.0,5.4,11.0
tt0021674,Die blonde Nachtigall,1930.0,82.0,,
tt0021681,Bombs Over Monte Carlo,1931.0,111.0,5.9,112.0
tt0021725,Caught Plastered,1931.0,68.0,6.6,190.0
tt0021740,Children of Dreams,1931.0,78.0,5.3,9.0
tt0021768,Cracked Nuts,1931.0,65.0,6.2,287.0
tt0021772,The Cuban Love Song,1931.0,86.0,5.6,153.0
tt0021793,Delicious,1931.0,106.0,5.9,191.0
tt0021818,The 3 Penny Opera,1931.0,112.0,7.3,2018.0
tt0021839,Esperáme,1933.0,70.0,7.0,9.0
tt0021852,Die Faschingsfee,1931.0,90.0,,
tt0021857,Fidlovacka,1930.0,80.0,6.2,10.0
tt0021859,50 Million Frenchmen,1931.0,74.0,5.2,112.0
tt0021879,Flying High,1931.0,80.0,5.8,212.0
tt0021888,Eine Freundin so goldig wie Du,1930.0,83.0,6.5,6.0
tt0021892,Die Försterchristl,1931.0,90.0,,
tt0021918,Gold Dust Gertie,1931.0,65.0,6.1,83.0
tt0021952,"Her Majesty, Love",1931.0,75.0,5.9,166.0
tt0021973,The Hot Heiress,1931.0,79.0,5.8,144.0
tt0022000,Indiscreet,1931.0,92.0,6.3,1345.0
tt0022026,Kiki,1931.0,87.0,5.0,302.0
tt0022029,Kiss Me Again,1931.0,75.0,5.5,133.0
tt0022034,Congress Dances,1931.0,85.0,7.0,470.0
tt0022071,Liebe auf Befehl,1931.0,76.0,,
tt0022072,Liebeskommando,1931.0,101.0,6.1,8.0
tt0022074,The Smiling Lieutenant,1931.0,93.0,7.2,3296.0
tt0022112,Mam'zelle Nitouche,1931.0,106.0,5.3,58.0
tt0022118,A Man of Mayfair,1931.0,83.0,,
tt0022120,Manhattan Parade,1931.0,75.0,5.0,136.0
tt0022138,Men of the Sky,1931.0,71.0,5.1,7.0
tt0022150,Le Million,1931.0,91.0,7.4,3187.0
tt0022158,Monkey Business,1931.0,77.0,7.5,11405.0
tt0022202,Nie wieder Liebe!,1931.0,88.0,6.6,21.0
tt0022211,No Limit,1931.0,72.0,5.9,79.0
tt0022229,Magic Night,1932.0,75.0,6.6,14.0
tt0022235,L'opéra de quat'sous,1931.0,104.0,6.8,163.0
tt0022239,Out of the Blue,1931.0,88.0,6.0,23.0
tt0022246,Palmy Days,1931.0,77.0,6.8,471.0
tt0022259,Peach O'Reno,1931.0,63.0,6.8,212.0
tt0022263,Le petit café,1931.0,85.0,6.6,15.0
tt0022283,The Prodigal,1931.0,76.0,5.4,79.0
tt0022323,Ronny,1931.0,89.0,5.5,6.0
tt0022336,Sally in Our Alley,1931.0,74.0,6.3,62.0
tt0022381,Side Show,1931.0,66.0,5.1,110.0
tt0022391,Sit Tight,1931.0,74.0,5.0,137.0
tt0022451,The Office Girl,1931.0,80.0,6.3,23.0
tt0022455,Swanee River,1931.0,55.0,,
tt0022548,Walzerparadies,1931.0,103.0,,
tt0022593,His Wife's Lover,1931.0,80.0,6.6,5.0
tt0022596,Zwei himmelblaue Augen,1932.0,89.0,,
tt0022599,À Nous la Liberté,1931.0,104.0,7.5,4081.0
tt0022608,Acht Mädels im Boot,1932.0,81.0,5.6,7.0
tt0022648,Baby,1932.0,86.0,6.9,15.0
tt0022658,Be Mine Tonight,1932.0,91.0,7.0,6.0
tt0022675,The Big Broadcast,1932.0,80.0,6.9,196.0
tt0022695,The Blue from the Sky,1932.0,77.0,7.0,26.0
tt0022699,A Blonde Dream,1932.0,98.0,5.7,201.0
tt0022700,Blondie of the Follies,1932.0,91.0,6.5,1123.0
tt0022706,Born Lucky,1933.0,78.0,5.8,9.0
tt0022749,La casa es seria,1933.0,,6.5,11.0
tt0022820,"She, or Nobody",1932.0,91.0,7.2,11.0
tt0022859,Once There Was a Waltz,1932.0,78.0,6.5,15.0
tt0022891,The First Mrs. Fraser,1932.0,95.0,,
tt0022923,Five from the Jazzband,1932.0,88.0,7.1,14.0
tt0022938,Girl Crazy,1932.0,74.0,6.1,239.0
tt0022940,The Girl from Calgary,1932.0,64.0,5.5,57.0
tt0022944,Gitta entdeckt ihr Herz,1932.0,95.0,6.6,9.0
tt0022973,"Han, hun og Hamlet",1932.0,110.0,5.2,30.0
tt0022976,Harlem Is Heaven,1932.0,69.0,6.1,33.0
tt0023010,His Lordship,1932.0,79.0,6.0,39.0
tt0023011,His Royal Highness,1932.0,84.0,5.7,43.0
tt0023027,Horse Feathers,1932.0,68.0,7.6,11789.0
tt0023046,"I by Day, You by Night",1932.0,98.0,7.3,97.0
tt0023088,The Kid from Spain,1932.0,96.0,6.3,483.0
tt0023137,The Song of Night,1932.0,85.0,6.8,24.0
tt0023138,"A Song, a Kiss, a Girl",1932.0,98.0,6.7,18.0
tt0023147,Looking on the Bright Side,1932.0,81.0,6.4,41.0
tt0023148,Lord Babs,1932.0,77.0,6.0,6.0
tt0023154,Love Among the Millionaires,1930.0,74.0,6.1,57.0
tt0023156,The Love Contract,1932.0,80.0,,
tt0023158,Love Me Tonight,1932.0,104.0,7.6,3586.0
tt0023160,Love on Wheels,1932.0,86.0,5.5,34.0
tt0023165,The Lucky Number,1932.0,72.0,5.5,48.0
tt0023205,Melodía de arrabal,1933.0,94.0,7.0,36.0
tt0023281,Not So Quiet on the Western Front,1930.0,50.0,,
tt0023303,One Hour with You,1932.0,78.0,7.2,2143.0
tt0023334,The Phantom President,1932.0,78.0,5.9,129.0
tt0023356,Ein Prinz verliebt sich,1932.0,,,
tt0023387,Rendezvous,1930.0,91.0,,
tt0023449,Sehnsucht 202,1932.0,79.0,6.6,19.0
tt0023481,Skal vi vædde en million?,1932.0,88.0,5.8,24.0
tt0023501,The Gala Performance,1932.0,80.0,5.5,28.0
tt0023580,There Goes the Bride,1932.0,79.0,6.8,132.0
tt0023667,La Wally,1932.0,84.0,,
tt0023690,Where Is This Lady?,1932.0,77.0,6.6,9.0
tt0023713,"Yes, Mr. Brown",1933.0,90.0,5.2,5.0
tt0023740,Adorable,1933.0,88.0,5.8,103.0
tt0023772,Along Came Sally,1934.0,84.0,5.8,50.0
tt0023787,A Bedtime Story,1933.0,87.0,7.1,80.0
tt0023813,Bitter Sweet,1933.0,93.0,6.8,63.0
tt0023841,Brewster's Millions,1935.0,80.0,7.3,43.0
tt0023845,Britannia of Billingsgate,1933.0,80.0,5.8,46.0
tt0023847,Broadway Thru a Keyhole,1933.0,90.0,6.1,196.0
tt0023848,Broadway to Hollywood,1933.0,85.0,5.8,228.0
tt0023871,A Song of Lisbon,1933.0,85.0,7.7,1339.0
tt0023925,"Dance, Girl, Dance",1933.0,74.0,5.6,37.0
tt0023926,Dancing Lady,1933.0,92.0,6.8,2065.0
tt0023943,The Devil's Brother,1933.0,90.0,7.2,1790.0
tt0023949,Diplomaniacs,1933.0,61.0,6.4,273.0
tt0023969,Duck Soup,1933.0,69.0,7.8,55619.0
tt0023974,Early to Bed,1933.0,83.0,,
tt0023999,Facing the Music,1933.0,72.0,6.8,15.0
tt0024001,Falling for You,1933.0,88.0,6.0,64.0
