College,Course Prefix,Department,Total Students,gpa_total,Average GPA,semester
Business,LEB,Legal Environment Of Business,265.0,804.67,3.0365,Summer 2021
Business,MAN,Management,659.0,2340.21,3.5512,Summer 2021
Business,MIS,Management Information Systems,297.0,1023.77,3.447,Summer 2021
Business,MKT,Marketing,227.0,681.36,3.0016,Summer 2021
Business,O M,Operations Management,33.0,98.37,2.9809,Summer 2021
Business,R M,Risk Management,43.0,140.04,3.2567,Summer 2021
Business,STA,Statistics,206.0,701.38,3.4048,Summer 2021
Communication,ADV,Advertising,285.0,951.41,3.3383,Summer 2021
Communication,CMS,Communication Studies,331.0,958.04,2.8944,Summer 2021
Communication,COM,Communication,34.0,128.0,3.7647,Summer 2021
Communication,J,Journalism,102.0,350.37,3.435,Summer 2021
Communication,P R,Public Relations,75.0,254.7,3.396,Summer 2021
Communication,RTF,Radio-Television-Film,216.0,737.4399999999999,3.4141,Summer 2021
Communication,SLH,"Speech, Language, And Hearing Sciences",78.0,291.37,3.7355,Summer 2021
Education,ALD,Applied Learning And Development,111.0,397.7,3.5829,Summer 2021
Education,EDC,Curriculum And Instruction,40.0,145.02,3.6255,Summer 2021
Education,EDP,Educational Psychology,191.0,638.39,3.3424,Summer 2021
Education,ELP,Educational Leadership And Policy,30.0,110.33,3.6777,Summer 2021
Education,HED,Health Education,15.0,49.34,3.2893,Summer 2021
Education,KIN,Kinesiology,295.0,915.02,3.1018,Summer 2021
Education,PED,Physical Education,35.0,133.34,3.8097,Summer 2021
Education,SED,Special Education,72.0,264.0,3.6667,Summer 2021
Engineering,ARE,Architectural Engineering,27.0,99.99,3.7033,Summer 2021
Engineering,ASE,Aerospace Engineering,29.0,89.0,3.069,Summer 2021
Engineering,BME,Biomedical Engineering,40.0,149.05,3.7262,Summer 2021
Engineering,C E,Civil Engineering,101.0,348.03000000000003,3.4458,Summer 2021
Engineering,E E,Electrical Engineering,212.0,548.71,2.5883,Summer 2021
Engineering,E M,Engineering Mechanics,120.0,320.37,2.6698,Summer 2021
Engineering,M E,Mechanical Engineering,162.0,510.36,3.1504,Summer 2021
Fine Arts,ARH,Art History,53.0,149.36,2.8181,Summer 2021
Fine Arts,DES,Design,7.0,27.34,3.9057,Summer 2021
Fine Arts,F A,Fine Arts,38.0,147.69,3.8866,Summer 2021
Fine Arts,MUS,Music,290.0,1017.71,3.5093,Summer 2021
Geoscience,GEO,Geological Sciences,132.0,429.71,3.2554,Summer 2021
Information,I,Informatics,35.0,135.34,3.8669,Summer 2021
Information,ISP,Information Security And Privacy,34.0,128.67000000000002,3.7844,Summer 2021
LBJ Public Affairs,P A,Public Affairs,51.0,185.72,3.6416,Summer 2021
Liberal Arts,AAS,Asian American Studies,16.0,59.67,3.7294,Summer 2021
Liberal Arts,AFR,African And African Diaspora Studies,125.0,367.39,2.9391,Summer 2021
Liberal Arts,AMS,American Studies,50.0,164.69,3.2938,Summer 2021
Liberal Arts,ANS,Asian Studies,21.0,68.01,3.2386,Summer 2021
