@relation New-No-League-F-Hall-of-fame-train.arff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute league {N,A}
@attribute games numeric
@attribute minutes numeric
@attribute pts numeric
@attribute offReb numeric
@attribute defReb numeric
@attribute reb numeric
@attribute asts numeric
@attribute stl numeric
@attribute blk numeric
@attribute turnover numeric
@attribute pf numeric
@attribute fga numeric
@attribute fgm numeric
@attribute fta numeric
@attribute ftm numeric
@attribute totalSeasons numeric
@attribute Position {G,F,C}
@attribute firstSeason numeric
@attribute lastSeason numeric
@attribute careerEnded numeric
@attribute yrsRetired2004 numeric
@attribute class {0,1}

@data
N,66,1018,3.4393939393939394,0.0,0.0,2.393939393939394,1.7424242424242424,0.0,0.0,0.0,158,292,95,55,37,1,G,1961,1961,1,43,0
N,210,3110,3.9,0.7857142857142857,2.1142857142857143,2.9,1.0476190476190477,0.38095238095238093,0.24761904761904763,0.8476190476190476,340,786,309,190,152,4,F,2001,2004,0,0,0
N,229,0,15.62882096069869,0.0,0.0,0.0,1.8165938864628821,0.0,0.0,0.0,893,3605,1276,1473,1027,4,C,1946,1949,1,55,0
N,97,808,3.577319587628866,0.25773195876288657,0.5257731958762887,0.7835051546391752,1.6597938144329898,0.5154639175257731,0.061855670103092786,1.1958762886597938,143,272,138,142,65,2,G,1981,1982,1,22,0
N,133,1628,4.293233082706767,0.0,0.0,3.887218045112782,0.5488721804511278,0.0,0.0,0.0,293,516,237,198,97,4,C,1961,1964,1,40,0
N,120,2370,6.3,0.6333333333333333,1.2583333333333333,1.8916666666666666,2.975,1.1833333333333333,0.13333333333333333,0.14166666666666666,241,665,297,206,162,2,G,1973,1974,1,30,0
N,31,268,3.838709677419355,0.0,0.0,0.9354838709677419,1.3870967741935485,0.0,0.0,0.0,19,122,48,33,23,1,G,1962,1962,1,42,0
N,480,10369,6.377083333333333,2.3041666666666667,3.7,6.004166666666666,0.56875,0.38125,0.3104166666666667,1.0791666666666666,1176,2545,1202,1081,654,12,F,1989,2000,1,4,0
N,506,9865,8.628458498023715,1.5276679841897234,2.9703557312252964,4.4980237154150196,0.9960474308300395,0.4407114624505929,0.3438735177865613,1.183794466403162,1096,3580,1792,1210,778,9,F,1995,2003,1,1,0
N,361,7461,5.71191135734072,0.08310249307479224,0.23822714681440443,5.523545706371191,1.299168975069252,0.024930747922437674,0.027700831024930747,0.0,792,2031,891,499,280,7,F,1968,1974,1,30,0
N,21,224,3.9047619047619047,1.1428571428571428,1.1904761904761905,2.3333333333333335,0.42857142857142855,0.14285714285714285,0.047619047619047616,0.6666666666666666,30,72,35,26,12,1,F,1999,1999,1,5,0
N,1122,39788,19.23885918003565,0.0,0.0,5.049019607843137,4.046345811051693,0.0,0.0,0.0,3855,18811,8504,5717,4578,15,G,1958,1972,1,32,1
N,669,14807,8.130044843049328,1.9207772795216742,3.705530642750374,5.626307922272048,0.9013452914798207,0.4648729446935725,1.210762331838565,1.101644245142003,2253,4244,2170,1598,1098,10,C,1975,1984,1,20,0
N,761,13310,5.390275952693824,1.6767411300919843,2.9329829172141917,4.609724047306176,0.9776609724047306,0.45860709592641263,0.9395532194480947,1.0078843626806833,1666,3454,1699,1134,704,10,C,1978,1987,1,17,0
N,213,3867,7.784037558685446,1.5633802816901408,2.3661971830985915,3.9295774647887325,1.244131455399061,0.41784037558685444,0.06103286384976526,1.2018779342723005,501,1650,679,429,300,7,F,1977,1983,1,21,0
N,34,272,3.1470588235294117,0.0,0.0,2.9411764705882355,0.47058823529411764,0.0,0.0,0.0,61,106,44,25,19,4,C,1968,1971,1,33,0
N,935,27764,13.70053475935829,2.3839572192513367,5.050267379679144,7.434224598930482,2.2898395721925136,0.7497326203208556,1.1475935828877006,2.2502673796791446,2692,10306,5191,3707,2427,13,C,1978,1990,1,14,0
N,10,110,2.7,1.2,1.3,2.5,0.3,0.3,0.4,0.2,19,31,10,12,7,1,F,2004,2004,0,0,0
N,825,30965,18.886060606060607,0.48848484848484847,1.846060606060606,5.8545454545454545,6.109090909090909,0.8254545454545454,0.07151515151515152,0.1684848484848485,2180,12516,6130,4226,3321,13,G,1967,1979,1,25,1
N,6,52,3.5,0.0,0.0,1.8333333333333333,0.5,0.0,0.0,0.0,6,20,10,5,1,1,C,1967,1967,1,37,0
N,36,381,4.361111111111111,0.7222222222222222,1.3611111111111112,2.0833333333333335,1.0277777777777777,0.3888888888888889,0.027777777777777776,1.0,64,140,63,42,24,1,F,1979,1979,1,25,0
N,526,19795,22.977186311787072,1.0893536121673004,5.435361216730038,6.524714828897339,3.720532319391635,1.7661596958174905,0.7984790874524715,3.070342205323194,1580,9169,3985,4078,3238,7,G,1998,2004,0,0,0
N,80,688,2.8,0.675,0.4875,1.1625,0.5625,0.4125,0.1125,0.55,99,205,84,76,55,3,G,1981,1983,1,21,0
N,4,38,1.5,0.25,1.0,1.25,1.75,1.25,0.5,0.75,3,13,3,2,0,1,G,1977,1977,1,27,0
N,46,0,1.891304347826087,0.0,0.0,0.0,0.782608695652174,0.0,0.0,0.0,51,134,36,38,15,1,G,1949,1949,1,55,0
N,745,21731,18.0496644295302,0.0,0.0,6.8671140939597315,3.0093959731543625,0.0,0.0,0.0,2388,11630,5239,3722,2969,14,F,1956,1969,1,35,1
N,375,5982,3.5813333333333333,1.5493333333333332,2.517333333333333,4.066666666666666,0.48,0.36533333333333334,0.2773333333333333,0.6266666666666667,932,1016,514,463,308,6,C,1987,1992,1,12,0
N,507,16927,14.13214990138067,0.9289940828402367,2.9822485207100593,3.911242603550296,2.554240631163708,1.5996055226824457,0.4358974358974359,1.2248520710059172,893,6337,2779,1171,913,9,G,1996,2004,0,0,0
